Stock,Date,Adj Close,Close,High,Low,Open,Volume,RSI14,RSI28,RSI50,EMA20,EMA50,EMA90,EMA12,EMA26,MACD,AROON_bull_25,AROON_bear_25,AROON_bull_50,AROON_bear_50,VROC_20,daily_return,DJI_Close,WMA_14,WMA_20,WMA_200,STD_20,SMA_20,UB,LB,RVI_10
AAPL,2020-01-02,72.53852081298828,75.0875015258789,75.1500015258789,73.79750061035156,74.05999755859375,135480400,,,,,,,,,,,,,,,,28868.80078125,,,,,,,,
AAPL,2020-01-03,71.83329772949219,74.35749816894531,75.1449966430664,74.125,74.2874984741211,146322800,0.0,0.0,0.0,,,,,,,,,,,,-0.009722049410329614,28634.880859375,,,,,,,,
AAPL,2020-01-06,72.40567779541016,74.94999694824219,74.98999786376953,73.1875,73.44750213623047,118387200,46.63999676728493,45.702050022310985,45.3011998722294,,,,,,,,,,,,0.007968171920401446,28703.380859375,,,,,,,,
AAPL,2020-01-07,72.06515502929688,74.59750366210938,75.2249984741211,74.37000274658203,74.95999908447266,108872000,35.909606961897964,35.65006330346172,35.530130718431835,,,,,,,,,,,,-0.004702984302908719,28583.6796875,,,,,,,,
AAPL,2020-01-08,73.22439575195312,75.79750061035156,76.11000061035156,74.29000091552734,74.29000091552734,132079200,65.23381104397062,63.77699812131597,63.14453495617453,,,,,,,,,,,,0.016086008864963697,28745.08984375,,,,,,,,
AAPL,2020-01-09,74.77977752685547,77.40750122070312,77.60749816894531,76.55000305175781,76.80999755859375,170108400,79.0706540865212,77.47577483684363,76.76830069774718,,,,,,,,,,,,0.02124130570050964,28956.900390625,,,,,,,,
AAPL,2020-01-10,74.94879913330078,77.5824966430664,78.1675033569336,77.0625,77.6500015258789,140644800,80.00209299481824,78.39648157716299,77.68306450546915,,,,,,,,,,,,0.0022602582146571404,28823.76953125,,,,,,,,
AAPL,2020-01-13,76.55005645751953,79.23999786376953,79.26750183105469,77.7874984741211,77.91000366210938,121532000,86.24674065739553,84.58643856793012,83.83586971945586,,,,,,,,,,,,0.021364682859972506,28907.05078125,,,,,,,,
AAPL,2020-01-14,75.51637268066406,78.16999816894531,79.39250183105469,78.0425033569336,79.17500305175781,161954400,70.86322602335142,70.97275515288162,70.95055826164564,,,,,,,,,,,,-0.013503370535449588,28939.669921875,,,,,,,,
AAPL,2020-01-15,75.1927261352539,77.83499908447266,78.875,77.38749694824219,77.9625015258789,121923600,66.84311963185144,67.44805729207292,67.6296317235429,,,,,,,,,,,,-0.0042857798106744616,29030.220703125,,,,,,,,0.3355206563228134
