Stock,Date,Adj Close,Close,High,Low,Open,Volume,RSI14,RSI28,RSI50,EMA20,EMA50,EMA90,EMA12,EMA26,MACD,AROON_bull_25,AROON_bear_25,AROON_bull_50,AROON_bear_50,VROC_20,daily_return,DJI_Close,WMA_14,WMA_20,WMA_200,STD_20,SMA_20,UB,LB,RVI_10
AAPL,2020-01-02,72.53852081298828,75.0875015258789,75.1500015258789,73.79750061035156,74.05999755859375,135480400,,,,,,,,,,,,,,,,28868.80078125,,,,,,,,
AAPL,2020-01-03,71.83329010009766,74.35749816894531,75.1449966430664,74.125,74.2874984741211,146322800,0.0,0.0,0.0,,,,,,,,,,,,-0.009722154587474718,28634.880859375,,,,,,,,
AAPL,2020-01-06,72.40569305419922,74.94999694824219,74.98999786376953,73.1875,73.44750213623047,118387200,46.64072268955325,45.702773849668226,45.301922647749024,,,,,,,,,,,,0.007968491395896393,28703.380859375,,,,,,,,
AAPL,2020-01-07,72.06515502929688,74.59750366210938,75.2249984741211,74.37000274658203,74.95999908447266,108872000,35.90999744483058,35.650465929022715,35.53053837109178,,,,,,,,,,,,-0.004703194051984716,28583.6796875,,,,,,,,
AAPL,2020-01-08,73.22441864013672,75.79750061035156,76.11000061035156,74.29000091552734,74.29000091552734,132079200,65.23387383079194,63.77708307075745,63.14462955936312,,,,,,,,,,,,0.016086326468992773,28745.08984375,,,,,,,,
AAPL,2020-01-09,74.77976989746094,77.40750122070312,77.60749816894531,76.55000305175781,76.80999755859375,170108400,79.07032165091391,77.4754494355448,76.76797922842343,,,,,,,,,,,,0.021240882293214636,28956.900390625,,,,,,,,
AAPL,2020-01-10,74.94881439208984,77.5824966430664,78.1675033569336,77.0625,77.6500015258789,140644800,80.00188952083975,78.39628200346746,77.68286734992603,,,,,,,,,,,,0.0022605645197986135,28823.76953125,,,,,,,,
AAPL,2020-01-13,76.55003356933594,79.23999786376953,79.26750183105469,77.7874984741211,77.91000366210938,121532000,86.24644323997703,84.58613267477361,83.83556123048251,,,,,,,,,,,,0.021364169536684408,28907.05078125,,,,,,,,
AAPL,2020-01-14,75.51636505126953,78.16999816894531,79.39250183105469,78.0425033569336,79.17500305175781,161954400,70.86318587052818,70.97269670089565,70.95049202710726,,,,,,,,,,,,-0.013503175241982746,28939.669921875,,,,,,,,
AAPL,2020-01-15,75.1927261352539,77.83499908447266,78.875,77.38749694824219,77.9625015258789,121923600,66.84316551060289,67.44808002871228,67.62964434836024,,,,,,,,,,,,-0.004285679213980931,29030.220703125,,,,,,,,0.3355206563228134
